Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=16, lr=0.0002, weight_decay=0.0004, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_origin_zero_220906')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1795: UserWarning: nn.functional.tanh is deprecated. Use torch.tanh instead.
  warnings.warn("nn.functional.tanh is deprecated. Use torch.tanh instead.")
Loss at iteration 130 : 0.11611881107091904
Loss at iteration 140 : 0.08708815276622772
Loss at iteration 150 : 0.1324208825826645
Loss at iteration 160 : 0.10020062327384949
Loss at iteration 170 : 0.11241313815116882
Loss at iteration 180 : 0.10779877007007599
Loss at iteration 190 : 0.10030233860015869
Loss at iteration 200 : 0.13579480350017548
Loss at iteration 210 : 0.09476091712713242
Loss at iteration 220 : 0.0885610580444336
Loss at iteration 230 : 0.10893192142248154
Loss at iteration 240 : 0.07653602957725525
Loss at iteration 250 : 0.09477400034666061
Loss at iteration 260 : 0.07774423062801361
Loss at iteration 270 : 0.10851442813873291
Loss at iteration 280 : 0.1250007003545761
Loss at iteration 290 : 0.07652422785758972
Loss at iteration 300 : 0.09800752252340317
The SSIM Value is: 0.6499858379364014
The PSNR Value is: 19.965541394551597
the highest SSIM value is: 19.965541394551597
the epoch is: 2
Loss at iteration 10 : 0.09479981660842896
Loss at iteration 20 : 0.09441613405942917
Loss at iteration 30 : 0.08787693083286285
Loss at iteration 40 : 0.11289063096046448
Loss at iteration 50 : 0.1007465124130249
Loss at iteration 60 : 0.09823790192604065
Loss at iteration 70 : 0.08596935123205185
Loss at iteration 80 : 0.0776636078953743
Loss at iteration 90 : 0.07945621758699417
Loss at iteration 100 : 0.09417736530303955
Loss at iteration 110 : 0.09275029599666595
Loss at iteration 120 : 0.10583581775426865
Loss at iteration 130 : 0.10556989163160324
Loss at iteration 140 : 0.09723511338233948
Loss at iteration 150 : 0.09479361027479172
Loss at iteration 160 : 0.10880017280578613
Loss at iteration 170 : 0.11748582124710083
Loss at iteration 180 : 0.09220348298549652
Loss at iteration 190 : 0.10139667987823486
Loss at iteration 200 : 0.11519908905029297
Loss at iteration 210 : 0.14686062932014465
Loss at iteration 220 : 0.09575599431991577
Loss at iteration 230 : 0.10939091444015503
Loss at iteration 240 : 0.10204523056745529
Loss at iteration 250 : 0.09997402876615524
Loss at iteration 260 : 0.13907340168952942
Loss at iteration 270 : 0.11858569830656052
Loss at iteration 280 : 0.10631822049617767
Loss at iteration 290 : 0.1142970472574234
Loss at iteration 300 : 0.12440880388021469
The SSIM Value is: 0.657660973072052
The PSNR Value is: 19.783011182149252
the epoch is: 3
Loss at iteration 10 : 0.08714495599269867
Loss at iteration 20 : 0.07537440210580826
Loss at iteration 30 : 0.09428112953901291
Loss at iteration 40 : 0.0828150138258934
Loss at iteration 50 : 0.08844157308340073
Loss at iteration 60 : 0.10733570903539658
Loss at iteration 70 : 0.10118208825588226
Loss at iteration 80 : 0.09160678833723068
Loss at iteration 90 : 0.12077965587377548
Loss at iteration 100 : 0.12149044871330261
Loss at iteration 110 : 0.1241808757185936
Loss at iteration 120 : 0.0884024053812027
Loss at iteration 130 : 0.13331525027751923
Loss at iteration 140 : 0.09410067647695541
Loss at iteration 150 : 0.09911607205867767
Loss at iteration 160 : 0.08411472290754318
Loss at iteration 170 : 0.09388561546802521
Loss at iteration 180 : 0.08349727094173431
Loss at iteration 190 : 0.08900666236877441
Loss at iteration 200 : 0.10695384442806244
Loss at iteration 210 : 0.09849832952022552
Loss at iteration 220 : 0.08554401248693466
Loss at iteration 230 : 0.08482480049133301
Loss at iteration 240 : 0.12495028972625732
Loss at iteration 250 : 0.0917382463812828
Loss at iteration 260 : 0.08263035118579865
Loss at iteration 270 : 0.15158800780773163
Loss at iteration 280 : 0.10445062816143036
Loss at iteration 290 : 0.0912901908159256
Loss at iteration 300 : 0.10017850250005722
The SSIM Value is: 0.6576872706413269
The PSNR Value is: 19.622404479980467
the epoch is: 4
Loss at iteration 10 : 0.11065889894962311
Loss at iteration 20 : 0.09939293563365936
Loss at iteration 30 : 0.10145388543605804
Loss at iteration 40 : 0.11973141878843307
Loss at iteration 50 : 0.0939895510673523
Loss at iteration 60 : 0.09189486503601074
Loss at iteration 70 : 0.09353713691234589
Loss at iteration 80 : 0.08856111764907837
Loss at iteration 90 : 0.09173854440450668
Loss at iteration 100 : 0.09644075483083725
Loss at iteration 110 : 0.12043920159339905
Loss at iteration 120 : 0.084175243973732
Loss at iteration 130 : 0.08995983004570007
Loss at iteration 140 : 0.1118558868765831
Loss at iteration 150 : 0.10291193425655365
Loss at iteration 160 : 0.10145194828510284
Loss at iteration 170 : 0.0954672321677208
Loss at iteration 180 : 0.11636193096637726
Loss at iteration 190 : 0.13341261446475983
Loss at iteration 200 : 0.11245842278003693
Loss at iteration 210 : 0.12283475697040558
Loss at iteration 220 : 0.10665285587310791
Loss at iteration 230 : 0.09035392850637436
Loss at iteration 240 : 0.0967617928981781
Loss at iteration 250 : 0.10307598114013672
Loss at iteration 260 : 0.12161658704280853
Loss at iteration 270 : 0.08556029200553894
Loss at iteration 280 : 0.09349000453948975
Loss at iteration 290 : 0.08855240046977997
Loss at iteration 300 : 0.0991082489490509
The SSIM Value is: 0.6444724758466085
The PSNR Value is: 19.275894546508788
the epoch is: 5
Loss at iteration 10 : 0.09802567958831787
Loss at iteration 20 : 0.08062988519668579
Loss at iteration 30 : 0.10016506910324097
Loss at iteration 40 : 0.10375833511352539
Loss at iteration 50 : 0.1005917638540268
Loss at iteration 60 : 0.07155963033437729
Loss at iteration 70 : 0.07283204793930054
Loss at iteration 80 : 0.11696099489927292
Loss at iteration 90 : 0.09875953197479248
Loss at iteration 100 : 0.11541569232940674
Loss at iteration 110 : 0.09458310902118683
Loss at iteration 120 : 0.08840809762477875
Loss at iteration 130 : 0.08020233362913132
Loss at iteration 140 : 0.10606871545314789
Loss at iteration 150 : 0.11421613395214081
Loss at iteration 160 : 0.07801553606987
Loss at iteration 170 : 0.09427132457494736
Loss at iteration 180 : 0.08217787742614746
Loss at iteration 190 : 0.08649472892284393
Loss at iteration 200 : 0.10407363623380661
Loss at iteration 210 : 0.1136370450258255
Loss at iteration 220 : 0.11932681500911713
Loss at iteration 230 : 0.06906566768884659
Loss at iteration 240 : 0.11875587701797485
Loss at iteration 250 : 0.09311293810606003
Loss at iteration 260 : 0.08859225362539291
Loss at iteration 270 : 0.07644743472337723
Loss at iteration 280 : 0.11337169259786606
Loss at iteration 290 : 0.1217823326587677
Loss at iteration 300 : 0.10878133773803711
The SSIM Value is: 0.646993096669515
The PSNR Value is: 19.67912425994873
the epoch is: 6
Loss at iteration 10 : 0.10421901941299438
Loss at iteration 20 : 0.1078011617064476
Loss at iteration 30 : 0.10057598352432251
Loss at iteration 40 : 0.09109838306903839
Loss at iteration 50 : 0.11878249049186707
Loss at iteration 60 : 0.0967891737818718
Loss at iteration 70 : 0.08325710892677307
Loss at iteration 80 : 0.11601444333791733
Loss at iteration 90 : 0.11544694006443024
Loss at iteration 100 : 0.10600028932094574
Loss at iteration 110 : 0.06709989160299301
Loss at iteration 120 : 0.12396939098834991
Loss at iteration 130 : 0.08650863170623779
Loss at iteration 140 : 0.08028586208820343
Loss at iteration 150 : 0.09918034076690674
Loss at iteration 160 : 0.10415779054164886
Loss at iteration 170 : 0.09055589139461517
Loss at iteration 180 : 0.07204528152942657
Loss at iteration 190 : 0.07813648879528046
Loss at iteration 200 : 0.10073016583919525
Loss at iteration 210 : 0.09763811528682709
Loss at iteration 220 : 0.09033358097076416
Loss at iteration 230 : 0.06097061559557915
Loss at iteration 240 : 0.09400618076324463
Loss at iteration 250 : 0.11209344863891602
Loss at iteration 260 : 0.10200224816799164
Loss at iteration 270 : 0.0979975163936615
Loss at iteration 280 : 0.07682795077562332
Loss at iteration 290 : 0.08277842402458191
Loss at iteration 300 : 0.11804547160863876
The SSIM Value is: 0.6432347059249878
The PSNR Value is: 19.55441640218099
the epoch is: 7
Loss at iteration 10 : 0.07902483642101288
Loss at iteration 20 : 0.08871445059776306
Loss at iteration 30 : 0.09584787487983704
Loss at iteration 40 : 0.09431731700897217
Loss at iteration 50 : 0.0911022275686264
Loss at iteration 60 : 0.11263313889503479
Loss at iteration 70 : 0.10299962759017944
Loss at iteration 80 : 0.11538320779800415
Loss at iteration 90 : 0.0923890620470047
Loss at iteration 100 : 0.09219308197498322
Loss at iteration 110 : 0.06491540372371674
Loss at iteration 120 : 0.0938599556684494
Loss at iteration 130 : 0.09585442394018173
Loss at iteration 140 : 0.09529446065425873
Loss at iteration 150 : 0.08853568136692047
Loss at iteration 160 : 0.09140437841415405
Loss at iteration 170 : 0.08109400421380997
Loss at iteration 180 : 0.10874371975660324
Loss at iteration 190 : 0.07881136238574982
Loss at iteration 200 : 0.08838461339473724
Loss at iteration 210 : 0.10265189409255981
Loss at iteration 220 : 0.06884539127349854
Loss at iteration 230 : 0.09140646457672119
Loss at iteration 240 : 0.11675058305263519
Loss at iteration 250 : 0.09768496453762054
Loss at iteration 260 : 0.11171390861272812
Loss at iteration 270 : 0.09694962948560715
Loss at iteration 280 : 0.11219696700572968
Loss at iteration 290 : 0.09250228106975555
Loss at iteration 300 : 0.08072355389595032
The SSIM Value is: 0.6579059183597564
The PSNR Value is: 20.03406721750895
the highest SSIM value is: 20.03406721750895
the epoch is: 8
Loss at iteration 10 : 0.07818055152893066
Loss at iteration 20 : 0.10064699500799179
Loss at iteration 30 : 0.10045216977596283
Loss at iteration 40 : 0.09445548057556152
Loss at iteration 50 : 0.10140036046504974
Loss at iteration 60 : 0.08421824872493744
Loss at iteration 70 : 0.07482761889696121
Loss at iteration 80 : 0.09742079675197601
Loss at iteration 90 : 0.08279651403427124
Loss at iteration 100 : 0.08491962403059006
Loss at iteration 110 : 0.10204800218343735
Loss at iteration 120 : 0.09192143380641937
Loss at iteration 130 : 0.07905310392379761
Loss at iteration 140 : 0.0769040435552597
Loss at iteration 150 : 0.09414242208003998
Loss at iteration 160 : 0.07965480536222458
Loss at iteration 170 : 0.10246923565864563
Loss at iteration 180 : 0.11348038166761398
Loss at iteration 190 : 0.0838642343878746
Loss at iteration 200 : 0.08951985836029053
Loss at iteration 210 : 0.11886879056692123
Loss at iteration 220 : 0.09854485839605331
Loss at iteration 230 : 0.07885396480560303
Loss at iteration 240 : 0.08532965183258057
Loss at iteration 250 : 0.09970323741436005
Loss at iteration 260 : 0.1094517931342125
Loss at iteration 270 : 0.1263255625963211
Loss at iteration 280 : 0.09596353024244308
Loss at iteration 290 : 0.08608201146125793
Loss at iteration 300 : 0.07953234016895294
The SSIM Value is: 0.6512635350227356
The PSNR Value is: 19.584531211853026
the epoch is: 9
Loss at iteration 10 : 0.08788931369781494
Loss at iteration 20 : 0.09108474105596542
Loss at iteration 30 : 0.11274749040603638
Loss at iteration 40 : 0.07952354848384857
Loss at iteration 50 : 0.08789440244436264
Loss at iteration 60 : 0.12041767686605453
Loss at iteration 70 : 0.09209436178207397
Loss at iteration 80 : 0.06763789802789688
Loss at iteration 90 : 0.07890953123569489
Loss at iteration 100 : 0.08882343769073486
Loss at iteration 110 : 0.08561208099126816
Loss at iteration 120 : 0.09368689358234406
Loss at iteration 130 : 0.0902942642569542
Loss at iteration 140 : 0.1423502266407013
Loss at iteration 150 : 0.10687237232923508
Loss at iteration 160 : 0.09190257638692856
Loss at iteration 170 : 0.09632565081119537
Loss at iteration 180 : 0.122311532497406
Loss at iteration 190 : 0.08460422605276108
Loss at iteration 200 : 0.08196606487035751
Loss at iteration 210 : 0.1072470173239708
Loss at iteration 220 : 0.08815634250640869
Loss at iteration 230 : 0.08461062610149384
Loss at iteration 240 : 0.08237999677658081
Loss at iteration 250 : 0.07292158901691437
Loss at iteration 260 : 0.08120979368686676
Loss at iteration 270 : 0.10009219497442245
Loss at iteration 280 : 0.08223225921392441
Loss at iteration 290 : 0.09296679496765137
Loss at iteration 300 : 0.11022202670574188
The SSIM Value is: 0.6486256102720896
The PSNR Value is: 19.46471888224284
the epoch is: 10
Loss at iteration 10 : 0.1037788838148117
Loss at iteration 20 : 0.09523426741361618
Loss at iteration 30 : 0.10439826548099518
Loss at iteration 40 : 0.08047709614038467
Loss at iteration 50 : 0.09731803834438324
Loss at iteration 60 : 0.07910843938589096
Loss at iteration 70 : 0.10691016912460327
Loss at iteration 80 : 0.11211369931697845
Loss at iteration 90 : 0.10293718427419662
Loss at iteration 100 : 0.10473810881376266
Loss at iteration 110 : 0.10283853858709335
Loss at iteration 120 : 0.09009532630443573
Loss at iteration 130 : 0.09889066219329834
Loss at iteration 140 : 0.10348175466060638
Loss at iteration 150 : 0.09912848472595215
Loss at iteration 160 : 0.09609794616699219
Loss at iteration 170 : 0.09548301994800568
Loss at iteration 180 : 0.09517847001552582
Loss at iteration 190 : 0.12288926541805267
Loss at iteration 200 : 0.08605193346738815
Loss at iteration 210 : 0.09795103967189789
Loss at iteration 220 : 0.08579973876476288
Loss at iteration 230 : 0.10876517742872238
Loss at iteration 240 : 0.09948171675205231
Loss at iteration 250 : 0.11628709733486176
Loss at iteration 260 : 0.10987268388271332
Loss at iteration 270 : 0.08040576428174973
Loss at iteration 280 : 0.09513957798480988
Loss at iteration 290 : 0.09679549932479858
Loss at iteration 300 : 0.07974225282669067
The SSIM Value is: 0.6435035248597463
The PSNR Value is: 19.404473749796548
the epoch is: 11
Loss at iteration 10 : 0.08173822611570358
Loss at iteration 20 : 0.080769382417202
Loss at iteration 30 : 0.0891144797205925
Loss at iteration 40 : 0.0807148888707161
Loss at iteration 50 : 0.08641886711120605
Loss at iteration 60 : 0.08517106622457504
Loss at iteration 70 : 0.09892944991588593
Loss at iteration 80 : 0.07591131329536438
Loss at iteration 90 : 0.0869842916727066
Loss at iteration 100 : 0.11284087598323822
Loss at iteration 110 : 0.06832244247198105
Loss at iteration 120 : 0.09144273400306702
Loss at iteration 130 : 0.08131727576255798
Loss at iteration 140 : 0.09678412973880768
Loss at iteration 150 : 0.09539765119552612
Loss at iteration 160 : 0.09881405532360077
Loss at iteration 170 : 0.09200263023376465
Loss at iteration 180 : 0.10917121171951294
Loss at iteration 190 : 0.07179191708564758
Loss at iteration 200 : 0.09614191949367523
Loss at iteration 210 : 0.10527980327606201
Loss at iteration 220 : 0.0833788514137268
Loss at iteration 230 : 0.08958704769611359
Loss at iteration 240 : 0.06968368589878082
Loss at iteration 250 : 0.0794953778386116
Loss at iteration 260 : 0.09252510964870453
Loss at iteration 270 : 0.08140070736408234
Loss at iteration 280 : 0.10512375831604004
Loss at iteration 290 : 0.1171480119228363
Loss at iteration 300 : 0.12955769896507263
The SSIM Value is: 0.652064033349355
The PSNR Value is: 19.73768138885498
the epoch is: 12
Loss at iteration 10 : 0.10625334829092026
Loss at iteration 20 : 0.08153611421585083
Loss at iteration 30 : 0.08900856971740723
Loss at iteration 40 : 0.09643769264221191
Loss at iteration 50 : 0.08957327902317047
Loss at iteration 60 : 0.1160602793097496
Loss at iteration 70 : 0.10492240637540817
Loss at iteration 80 : 0.07644445449113846
Loss at iteration 90 : 0.09727455675601959
Loss at iteration 100 : 0.0911869928240776
Loss at iteration 110 : 0.10479351878166199
Loss at iteration 120 : 0.08961537480354309
Loss at iteration 130 : 0.0862237811088562
Loss at iteration 140 : 0.08488880097866058
Loss at iteration 150 : 0.1084851622581482
Loss at iteration 160 : 0.112978994846344
Loss at iteration 170 : 0.0737568736076355
Loss at iteration 180 : 0.09129194915294647
Loss at iteration 190 : 0.09064696729183197
Loss at iteration 200 : 0.10194855183362961
Loss at iteration 210 : 0.06353047490119934
Loss at iteration 220 : 0.08107808232307434
Loss at iteration 230 : 0.09721773862838745
Loss at iteration 240 : 0.08819824457168579
Loss at iteration 250 : 0.09331982582807541
Loss at iteration 260 : 0.09176542609930038
Loss at iteration 270 : 0.11824198812246323
Loss at iteration 280 : 0.07784877717494965
Loss at iteration 290 : 0.07862140983343124
Loss at iteration 300 : 0.09189312905073166
The SSIM Value is: 0.6499918321768443
The PSNR Value is: 19.73027648925781
the epoch is: 13
Loss at iteration 10 : 0.09732010960578918
Loss at iteration 20 : 0.0974849984049797
Loss at iteration 30 : 0.1236361563205719
Loss at iteration 40 : 0.09325286000967026
Loss at iteration 50 : 0.11719170212745667
Loss at iteration 60 : 0.12488709390163422
Loss at iteration 70 : 0.09751546382904053
Loss at iteration 80 : 0.10209059715270996
Loss at iteration 90 : 0.0837506651878357
Loss at iteration 100 : 0.10183203220367432
Loss at iteration 110 : 0.08648629486560822
Loss at iteration 120 : 0.07044021040201187
Loss at iteration 130 : 0.07598380744457245
Loss at iteration 140 : 0.10697706043720245
Loss at iteration 150 : 0.09417301416397095
Loss at iteration 160 : 0.09704308211803436
Loss at iteration 170 : 0.11415843665599823
Loss at iteration 180 : 0.1213788390159607
Loss at iteration 190 : 0.0642622709274292
Loss at iteration 200 : 0.08110510557889938
Loss at iteration 210 : 0.09794801473617554
Loss at iteration 220 : 0.08777987957000732
Loss at iteration 230 : 0.09273232519626617
Loss at iteration 240 : 0.09953232854604721
Loss at iteration 250 : 0.09818466752767563
Loss at iteration 260 : 0.11910547316074371
Loss at iteration 270 : 0.0948369950056076
Loss at iteration 280 : 0.11554813385009766
Loss at iteration 290 : 0.12050560116767883
Loss at iteration 300 : 0.0754370242357254
The SSIM Value is: 0.6534278432528178
The PSNR Value is: 19.964938672383628
the epoch is: 14
Loss at iteration 10 : 0.08703355491161346
Loss at iteration 20 : 0.10467930138111115
Loss at iteration 30 : 0.09214946627616882
Loss at iteration 40 : 0.08272978663444519
Loss at iteration 50 : 0.08059405535459518
Loss at iteration 60 : 0.1015484556555748
Loss at iteration 70 : 0.10019000619649887
Loss at iteration 80 : 0.09216650575399399
Loss at iteration 90 : 0.07887870818376541
Loss at iteration 100 : 0.110096774995327
Loss at iteration 110 : 0.09969554841518402
Loss at iteration 120 : 0.09736861288547516
Loss at iteration 130 : 0.12248840183019638
Loss at iteration 140 : 0.08572223782539368
Loss at iteration 150 : 0.09741352498531342
Loss at iteration 160 : 0.10128440707921982
Loss at iteration 170 : 0.08234208822250366
Loss at iteration 180 : 0.11163346469402313
Loss at iteration 190 : 0.0867423415184021
Loss at iteration 200 : 0.1078241690993309
Loss at iteration 210 : 0.0984523743391037
Loss at iteration 220 : 0.0917901024222374
Loss at iteration 230 : 0.09308429807424545
Loss at iteration 240 : 0.09608062356710434
Loss at iteration 250 : 0.10432791709899902
Loss at iteration 260 : 0.08043750375509262
Loss at iteration 270 : 0.09531711041927338
Loss at iteration 280 : 0.08266617357730865
Loss at iteration 290 : 0.10277970880270004
Loss at iteration 300 : 0.09170407056808472
The SSIM Value is: 0.6545332650343577
The PSNR Value is: 19.859201622009277
the epoch is: 15
Loss at iteration 10 : 0.09252838790416718
Loss at iteration 20 : 0.07017830014228821
Loss at iteration 30 : 0.095955990254879
Loss at iteration 40 : 0.07871968299150467
Loss at iteration 50 : 0.1130160242319107
Loss at iteration 60 : 0.09230931848287582
Loss at iteration 70 : 0.09067970514297485
Loss at iteration 80 : 0.0610368549823761
Loss at iteration 90 : 0.09133346378803253
Loss at iteration 100 : 0.07454083859920502
Loss at iteration 110 : 0.10077834129333496
Loss at iteration 120 : 0.10529743134975433
Loss at iteration 130 : 0.07750201225280762
Loss at iteration 140 : 0.1107117235660553
Loss at iteration 150 : 0.07830765843391418
Loss at iteration 160 : 0.07658801972866058
Loss at iteration 170 : 0.06884100288152695
Loss at iteration 180 : 0.09565659612417221
Loss at iteration 190 : 0.11931531131267548
Loss at iteration 200 : 0.08279532939195633
Loss at iteration 210 : 0.09327441453933716
Loss at iteration 220 : 0.09326734393835068
Loss at iteration 230 : 0.10217597335577011
Loss at iteration 240 : 0.09939663857221603
Loss at iteration 250 : 0.11217626929283142
Loss at iteration 260 : 0.09861620515584946
Loss at iteration 270 : 0.07831043750047684
Loss at iteration 280 : 0.07762978971004486
Loss at iteration 290 : 0.10055786371231079
Loss at iteration 300 : 0.086310975253582
The SSIM Value is: 0.6539836227893829
The PSNR Value is: 19.761652946472168
the epoch is: 16
Loss at iteration 10 : 0.10462728142738342
Loss at iteration 20 : 0.09456532448530197
Loss at iteration 30 : 0.09859468787908554
Loss at iteration 40 : 0.11226501315832138
Loss at iteration 50 : 0.09559646248817444
Loss at iteration 60 : 0.09805981814861298
Loss at iteration 70 : 0.10394971072673798
Loss at iteration 80 : 0.08808322995901108
Loss at iteration 90 : 0.12346062064170837
Loss at iteration 100 : 0.08167826384305954
Loss at iteration 110 : 0.1110730767250061
Loss at iteration 120 : 0.1197410449385643
Loss at iteration 130 : 0.09191655367612839
Loss at iteration 140 : 0.08026104420423508
Loss at iteration 150 : 0.08039359748363495
Loss at iteration 160 : 0.09608142077922821
Loss at iteration 170 : 0.08407016098499298
Loss at iteration 180 : 0.07220461219549179
Loss at iteration 190 : 0.09452784061431885
Loss at iteration 200 : 0.08419457077980042
Loss at iteration 210 : 0.09963047504425049
Loss at iteration 220 : 0.12294342368841171
Loss at iteration 230 : 0.09081616997718811
Loss at iteration 240 : 0.10293005406856537
Loss at iteration 250 : 0.1020737737417221
Loss at iteration 260 : 0.0867948979139328
Loss at iteration 270 : 0.06850554049015045
Loss at iteration 280 : 0.07973021268844604
Loss at iteration 290 : 0.09100743383169174
Loss at iteration 300 : 0.08844780176877975
The SSIM Value is: 0.6507636745770772
The PSNR Value is: 19.77375717163086
the epoch is: 17
Loss at iteration 10 : 0.07236560434103012
Loss at iteration 20 : 0.09960544109344482
Loss at iteration 30 : 0.09078016877174377
Loss at iteration 40 : 0.09347149729728699
Loss at iteration 50 : 0.09903234243392944
Loss at iteration 60 : 0.08971744030714035
Loss at iteration 70 : 0.10319915413856506
Loss at iteration 80 : 0.09794388711452484
Loss at iteration 90 : 0.09937205165624619
Loss at iteration 100 : 0.11244191974401474
Loss at iteration 110 : 0.09616683423519135
Loss at iteration 120 : 0.09608660638332367
Loss at iteration 130 : 0.12069594860076904
Loss at iteration 140 : 0.08941040933132172
Loss at iteration 150 : 0.08382195234298706
Loss at iteration 160 : 0.06562375277280807
Loss at iteration 170 : 0.08987411111593246
Loss at iteration 180 : 0.08983021974563599
Loss at iteration 190 : 0.07990621030330658
Loss at iteration 200 : 0.07703913003206253
Loss at iteration 210 : 0.0764806792140007
Loss at iteration 220 : 0.09505759924650192
Loss at iteration 230 : 0.09818403422832489
Loss at iteration 240 : 0.08684061467647552
Loss at iteration 250 : 0.07275804877281189
Loss at iteration 260 : 0.08484312891960144
Loss at iteration 270 : 0.09238390624523163
Loss at iteration 280 : 0.10955141484737396
Loss at iteration 290 : 0.091337189078331
Loss at iteration 300 : 0.07808598130941391
The SSIM Value is: 0.650718073050181
The PSNR Value is: 19.48169854482015
the epoch is: 18
Loss at iteration 10 : 0.11644023656845093
Loss at iteration 20 : 0.08240828663110733
Loss at iteration 30 : 0.10847079008817673
Loss at iteration 40 : 0.12196733802556992
Loss at iteration 50 : 0.08314736187458038
Loss at iteration 60 : 0.09105619788169861
Loss at iteration 70 : 0.10048235952854156
Loss at iteration 80 : 0.15251995623111725
Loss at iteration 90 : 0.07900100946426392
Loss at iteration 100 : 0.09314136952161789
Loss at iteration 110 : 0.10331536829471588
Loss at iteration 120 : 0.09167429059743881
Loss at iteration 130 : 0.07998843491077423
Loss at iteration 140 : 0.078424833714962
Loss at iteration 150 : 0.08214716613292694
Loss at iteration 160 : 0.0963517427444458
Loss at iteration 170 : 0.10015791654586792
Loss at iteration 180 : 0.10857884585857391
Loss at iteration 190 : 0.12546107172966003
Loss at iteration 200 : 0.10819598287343979
Loss at iteration 210 : 0.08719833195209503
Loss at iteration 220 : 0.11201836913824081
Loss at iteration 230 : 0.0934251993894577
Loss at iteration 240 : 0.08519406616687775
Loss at iteration 250 : 0.088081955909729
Loss at iteration 260 : 0.08839567750692368
Loss at iteration 270 : 0.11453145742416382
Loss at iteration 280 : 0.0879385694861412
Loss at iteration 290 : 0.10356777906417847
Loss at iteration 300 : 0.06679852306842804
The SSIM Value is: 0.6582282543182373
The PSNR Value is: 20.067359034220377
the highest SSIM value is: 20.067359034220377
the epoch is: 19
Loss at iteration 10 : 0.09031220525503159
Loss at iteration 20 : 0.08730275928974152
Loss at iteration 30 : 0.09233248233795166
Loss at iteration 40 : 0.0920458659529686
Loss at iteration 50 : 0.08390852808952332
Loss at iteration 60 : 0.0764663964509964
Loss at iteration 70 : 0.08258214592933655
Loss at iteration 80 : 0.0710829347372055
Loss at iteration 90 : 0.07366921752691269
Loss at iteration 100 : 0.10521447658538818
Loss at iteration 110 : 0.07710357755422592
Loss at iteration 120 : 0.09598462283611298
Loss at iteration 130 : 0.0907326191663742
Loss at iteration 140 : 0.08972892165184021
Loss at iteration 150 : 0.07529866695404053
Loss at iteration 160 : 0.0912727415561676
Loss at iteration 170 : 0.0886460691690445
Loss at iteration 180 : 0.093020960688591
Loss at iteration 190 : 0.07154038548469543
Loss at iteration 200 : 0.08827684819698334
